Name,Position,Club,Nationality,Age,Appearances,Starts,Minutes Played,Average Rating,Goals,Assists,Player of the Match,Yellow Cards,Red Cards,Goals per 90,Expected Goals,xG per 90,Expected Assists,xA per 90,Non-Penalty xG,NP-xG per 90,xG Overperformance (Goals − xG),Shots,Shots per 90,Shots on Target,Shots on Target per 90,Conversion Rate,Clear Cut Chances Created,Clear Cut Chances Created per 90,Penalties Taken,Penalties Scored,Pass Completion %,Passes Completed,Passes Completed per 90,Key Passes,Key Passes per 90,Progressive Passes,Progressive Passes per 90,Passes Attempted,Passes Attempted per 90,Crosses Attempted,Crosses Completed,Open Play Crosses Attempted,Open Play Crosses Completed,Tackles Completed,Tackles Completed per 90,Interceptions,Clearances,Blocks,Pressures Completed per 90,Tackles Attempted,Interceptions per 90,Clearances per 90,Blocks per 90,Key Tackles,Key Tackles per 90,Pressures Attempted,Pressures Attempted per 90,Pressures Completed,Fouls Made,Fouls Won (Against),Save Percentage,Saves per 90,Clean Sheets,Clean Sheets per 90,Goals Conceded per 90,Expected Goals Prevented,Saves Held,Saves Parried,Saves Tipped,Penalties Faced,Penalties Saved,Penalty Save Ratio,Goals Conceded,Distance per 90 (km),Sprints per 90,Dribbles per 90,Distance (km),Sprints,Dribbles,Headers Attempted,Headers Won,Goal Contributions,Goal Contributions per 90,Non-Penalty Contributions per 90,Defensive Actions per 90,Attacking Actions per 90,Creative Actions per 90,Progressive Pass %
Cristiano Fratti,GK,Mantova,Italy,18,36,36,3240,6.47,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0,0.0,,0,0.00,0,0,64.4%,599,16.6,3,0.08,0,0.0,930,25.8,0,0,0,1377,,,0,175,131,0.0,,0.00,4.86,3.64,0,0.00,0,0.0,0,0,10,63.2%,2.3,4,0.11,1.36,-10.87,24,37,23,3,2,66.7%,49,5.23,0.0,0.0,188.3,0,0,,,0,0.00,0.00,3.69,38.25,0.28,0.0%
Matteo Stambolliu,D (C),Mantova,Albania,18,36,36,3240,7.03,0,1,0,2,0,0.00,0.24,0.01,0.00,0.00,0.24,0.01,-0.24,4,0.1,0,0.0,0.0%,0,0.00,0,0,69.2%,498,13.8,0,0.00,0,0.0,720,20.0,0,0,0,0,62,1.72,0,0,0,0.0,65,0.00,0.00,0.00,0,0.00,0,0.0,0,50,32,,,,,,,,,,,,,,0.00,0.0,0.0,0.0,0,0,0,0,1,0.03,0.03,3.11,0.00,0.89,0.0%
Gioele Madia,ST,Catanzaro,Italy,17,36,36,3240,7.45,13,3,1,0,0,0.36,9.83,0.27,3.18,0.09,9.83,0.27,3.17,93,2.6,45,1.3,14.0%,0,0.00,0,0,60.1%,433,12.0,0,0.00,0,0.0,720,20.0,0,0,0,0,26,0.72,0,0,0,0.0,42,0.00,0.00,0.00,0,0.00,0,0.0,0,24,38,,,,,,,,,,,,,,0.00,0.0,0.0,0.0,0,0,0,0,16,0.44,0.44,1.39,1.61,1.06,0.0%
Stefano Mazzini,GK,Carrarese,Italy,27,35,35,3150,7.46,0,0,3,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0,0.0,,0,0.00,0,0,61.3%,429,12.3,0,0.00,0,0.0,700,20.0,0,0,0,0,,,0,0,0,0.0,,0.00,0.00,0.00,0,0.00,0,0.0,0,0,33,0.0%,0.0,11,0.31,1.00,0.00,0,0,0,0,0,,35,0.00,0.0,0.0,0.0,0,0,,,0,0.00,0.00,0.00,0.00,0.94,0.0%
Luis Buzi,M/AM (C),Südtirol,Albania,20,35,35,3156,7.41,0,9,1,0,0,0.00,7.21,0.21,4.51,0.13,7.21,0.21,-7.21,66,1.9,27,0.8,0.0%,0,0.00,0,0,68.8%,495,14.1,0,0.00,0,0.0,720,20.5,0,0,0,0,37,1.06,0,0,0,0.0,44,0.00,0.00,0.00,0,0.00,0,0.0,0,42,46,,,,,,,,,,,,,,0.00,0.0,0.0,0.0,0,0,0,0,9,0.26,0.26,2.25,0.77,1.31,0.0%
Leo Di Martino,D/WB/M (L),U.S. Avellino 1912,Italy,20,35,35,3056,6.66,0,1,0,8,3,0.00,0.40,0.01,2.10,0.06,0.40,0.01,-0.40,8,0.2,1,0.0,0.0%,4,0.12,0,0,85.0%,1565,46.1,40,1.18,193,5.7,1841,54.2,138,32,138,32,49,1.44,94,44,23,1.9,55,2.77,1.30,0.68,3,0.09,223,6.6,64,35,16,,,,,,,,,,,,,,10.89,12.3,0.2,369.7,416,8,119,51,1,0.03,0.03,5.92,1.33,6.39,10.5%
Francesco D'Anna,M (C),U.S. Avellino 1912,Italy,20,35,35,3150,7.23,3,7,0,0,0,0.09,0.48,0.01,2.97,0.08,0.48,0.01,2.52,8,0.2,3,0.1,37.5%,0,0.00,0,0,71.6%,501,14.3,0,0.00,0,0.0,700,20.0,0,0,0,0,61,1.74,0,0,0,0.0,68,0.00,0.00,0.00,0,0.00,0,0.0,0,40,33,,,,,,,,,,,,,,0.00,0.0,0.0,0.0,0,0,0,0,10,0.29,0.29,2.89,0.17,0.94,0.0%
Antonio Coppola,AM (RL),Empoli FC,Italy,19,35,35,3172,7.15,3,6,0,0,0,0.09,4.16,0.12,0.00,0.00,4.16,0.12,-1.16,43,1.2,14,0.4,7.0%,0,0.00,0,0,69.9%,503,14.3,0,0.00,0,0.0,720,20.4,0,0,0,0,35,0.99,0,0,0,0.0,45,0.00,0.00,0.00,0,0.00,0,0.0,0,21,24,,,,,,,,,,,,,,0.00,0.0,0.0,0.0,0,0,0,0,9,0.26,0.26,1.59,0.48,0.68,0.0%
Edgar Valera,AM (R),Virtus Entella,Venezuela,20,35,35,3158,7.34,4,8,1,0,0,0.11,4.86,0.14,0.00,0.00,4.86,0.14,-0.86,54,1.5,20,0.6,7.4%,0,0.00,0,0,68.8%,495,14.1,0,0.00,0,0.0,720,20.5,0,0,0,0,41,1.17,0,0,0,0.0,62,0.00,0.00,0.00,0,0.00,0,0.0,0,27,42,,,,,,,,,,,,,,0.00,0.0,0.0,0.0,0,0,0,0,12,0.34,0.34,1.94,0.68,1.20,0.0%
Enrico Tatti,M/AM (C),Empoli FC,Italy,19,35,36,2493,6.33,2,3,1,7,1,0.07,3.16,0.11,2.93,0.11,3.16,0.11,-1.16,19,0.7,11,0.4,10.5%,2,0.07,0,0,95.0%,19,0.7,17,0.61,0,0.0,20,0.7,227,35,0,0,2,0.07,0,0,0,0.0,2,0.00,0.00,0.00,0,0.00,0,0.0,0,11,11,,,,,,,,,,,,,,0.00,0.0,0.0,0.0,0,0,0,0,5,0.18,0.18,0.47,0.54,0.40,0.0%
