Name,Position,Club,Nationality,Age,Appearances,Starts,Minutes Played,Average Rating,Goals,Assists,Player of the Match,Yellow Cards,Red Cards,Goals per 90,Expected Goals,xG per 90,Expected Assists,xA per 90,Non-Penalty xG,NP-xG per 90,xG Overperformance (Goals − xG),Shots,Shots per 90,Shots on Target,Shots on Target per 90,Conversion Rate,Clear Cut Chances Created,Clear Cut Chances Created per 90,Penalties Taken,Penalties Scored,Pass Completion %,Passes Completed,Passes Completed per 90,Key Passes,Key Passes per 90,Progressive Passes,Progressive Passes per 90,Passes Attempted,Passes Attempted per 90,Crosses Attempted,Crosses Completed,Open Play Crosses Attempted,Open Play Crosses Completed,Tackles Completed,Tackles Completed per 90,Interceptions,Clearances,Blocks,Pressures Completed per 90,Tackles Attempted,Interceptions per 90,Clearances per 90,Blocks per 90,Key Tackles,Key Tackles per 90,Pressures Attempted,Pressures Attempted per 90,Pressures Completed,Fouls Made,Fouls Won (Against),Save Percentage,Saves per 90,Clean Sheets,Clean Sheets per 90,Goals Conceded per 90,Expected Goals Prevented,Saves Held,Saves Parried,Saves Tipped,Penalties Faced,Penalties Saved,Penalty Save Ratio,Goals Conceded,Distance per 90 (km),Sprints per 90,Dribbles per 90,Distance (km),Sprints,Dribbles,Headers Attempted,Headers Won,Goal Contributions,Goal Contributions per 90,Non-Penalty Contributions per 90,Defensive Actions per 90,Attacking Actions per 90,Creative Actions per 90,Progressive Pass %
Diego Marcolini,"DM, M (C)",Padova,Italy,21,7,3,296,6.43,0,0,0,0,0,0.00,0.07,0.02,0.62,0.19,0.07,0.02,-0.07,2,0.6,0,0.0,0.0%,0,0.00,0,0,93.1%,67,20.4,2,0.61,8,2.4,72,21.9,0,0,0,0,3,0.91,2,1,0,1.2,4,0.61,0.30,0.00,0,0.00,13,4.0,4,1,1,,,,,,,,,,,,,,5.78,3.0,0.0,19.0,10,0,2,0,0,0.00,0.00,1.82,0.00,2.74,11.1%
Gianmarco Castorri,"WB (RL), M (RLC)",Cesena FC,Italy,20,7,2,340,6.37,1,0,0,1,0,0.26,0.38,0.10,0.21,0.06,0.38,0.10,0.62,4,1.1,1,0.3,25.0%,2,0.53,0,0,,0,0.0,0,0.00,0,0.0,0,0.0,0,0,0,0,0,0.00,0,0,0,0.0,0,0.00,0.00,0.00,0,0.00,0,0.0,0,1,0,,,,,,,,,,,,,,0.00,0.0,0.0,0.0,0,0,0,0,1,0.26,0.26,0.26,1.06,0.00,
Leonardo Tiana,M/AM (C),Virtus Entella,Italy,19,7,0,298,6.64,1,2,0,0,0,0.30,0.11,0.03,0.74,0.22,0.11,0.03,0.89,2,0.6,1,0.3,50.0%,2,0.60,0,0,91.3%,63,19.0,4,1.21,4,1.2,69,20.8,2,0,2,0,0,0.00,1,0,0,0.3,0,0.30,0.00,0.00,0,0.00,9,2.7,1,1,2,,,,,,,,,,,,,,5.59,3.3,0.3,18.5,11,1,7,2,3,0.91,0.91,0.60,1.51,2.11,5.8%
Massimo Gatto,"D/WB (R), M (RC)",Pescara,Canada,20,7,0,248,6.57,1,0,0,0,0,0.36,0.09,0.03,0.00,0.00,0.09,0.03,0.91,1,0.4,1,0.4,100.0%,0,0.00,0,0,83.1%,108,39.2,2,0.73,13,4.7,130,47.2,9,5,9,5,1,0.36,11,2,1,0.7,2,3.99,0.73,0.36,0,0.00,16,5.8,2,3,3,,,,,,,,,,,,,,8.71,10.9,1.8,24.0,30,5,11,2,1,0.36,0.36,5.81,4.35,7.62,10.0%
Agustín Luna,ST,Südtirol,Argentina,20,7,7,630,7.60,5,1,1,0,0,0.71,2.00,0.29,0.59,0.08,2.00,0.29,3.00,17,2.4,10,1.4,29.4%,0,0.00,0,0,60.0%,84,12.0,0,0.00,0,0.0,140,20.0,0,0,0,0,4,0.57,0,0,0,0.0,9,0.00,0.00,0.00,0,0.00,0,0.0,0,11,9,,,,,,,,,,,,,,0.00,0.0,0.0,0.0,0,0,0,0,6,0.86,0.86,2.14,2.14,1.29,0.0%
Mohamed Malang Touré,ST,Venezia,Senegal,19,7,7,630,7.66,1,2,0,0,0,0.14,2.37,0.34,0.11,0.02,2.37,0.34,-1.37,23,3.3,13,1.9,4.3%,0,0.00,0,0,60.0%,84,12.0,0,0.00,0,0.0,140,20.0,0,0,0,0,7,1.00,0,0,0,0.0,15,0.00,0.00,0.00,0,0.00,0,0.0,0,2,10,,,,,,,,,,,,,,0.00,0.0,0.0,0.0,0,0,0,0,3,0.43,0.43,1.29,2.00,1.43,0.0%
Mancha,D/WB/M/AM (L),Pescara,Brazil,25,6,0,222,6.85,0,0,0,0,0,0.00,0.01,0.00,0.92,0.37,0.01,0.00,-0.01,2,0.8,1,0.4,0.0%,3,1.22,0,0,84.9%,141,57.2,5,2.03,18,7.3,166,67.3,17,7,17,7,5,2.03,7,5,0,1.6,6,2.84,2.03,0.00,0,0.00,18,7.3,4,4,1,,,,,,,,,,,,,,12.81,18.2,1.6,31.6,45,4,9,5,0,0.00,0.00,6.49,6.08,9.32,10.8%
Valentin Antov,D (C),Monza,Bulgaria,25,6,5,485,6.87,1,0,0,3,0,0.19,0.77,0.14,0.00,0.00,0.77,0.14,0.23,2,0.4,2,0.4,50.0%,0,0.00,0,0,94.7%,284,52.7,0,0.00,24,4.5,300,55.7,2,2,2,2,6,1.11,18,8,1,1.1,7,3.34,1.48,0.19,2,0.37,9,1.7,6,8,1,,,,,,,,,,,,,,10.45,6.9,0.0,56.3,37,0,28,16,1,0.19,0.19,6.12,0.93,4.64,8.0%
Vincenzo Fiorillo,GK,Carrarese,Italy,36,6,6,540,6.50,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0,0.0,,0,0.00,0,0,89.8%,114,19.0,0,0.00,0,0.0,127,21.2,0,0,0,657,,,2,15,37,0.0,,0.33,2.50,6.17,0,0.00,0,0.0,0,0,0,73.0%,4.5,0,0.00,1.67,-1.85,13,6,8,1,0,0.0%,10,4.00,0.5,0.0,24.0,3,0,,,0,0.00,0.00,6.50,109.50,0.00,0.0%
Mattia Valoti,M/AM (C),Spezia,Italy,32,6,1,261,6.58,0,0,0,0,0,0.00,0.02,0.01,0.30,0.10,0.02,0.01,-0.02,2,0.7,2,0.7,0.0%,1,0.34,0,0,87.6%,141,48.6,5,1.72,10,3.4,161,55.5,12,1,3,0,4,1.38,6,2,1,2.4,5,2.07,0.69,0.34,0,0.00,20,6.9,7,4,0,,,,,,,,,,,,,,14.10,13.1,1.0,40.9,38,3,12,4,0,0.00,0.00,5.17,2.07,4.48,6.2%
Roberto Insigne,"M (RL), AM (RLC)",U.S. Avellino 1912,Italy,31,6,1,270,6.85,1,2,0,0,0,0.33,0.71,0.24,0.80,0.27,0.71,0.24,0.29,7,2.3,5,1.7,14.3%,3,1.00,0,0,82.4%,61,20.3,6,2.00,8,2.7,74,24.7,18,4,7,1,6,2.00,4,2,0,0.7,6,1.33,0.67,0.00,0,0.00,17,5.7,2,1,1,,,,,,,,,,,,,,12.90,9.0,0.3,38.7,27,1,5,1,3,1.00,1.00,3.67,3.67,3.33,10.8%
Matteo Ricci,"DM, M (C)",Sampdoria,Italy,31,6,1,197,6.65,0,0,0,0,0,0.00,0.05,0.02,0.00,0.00,0.05,0.02,-0.05,1,0.5,0,0.0,0.0%,0,0.00,0,0,90.6%,115,52.5,0,0.00,14,6.4,127,58.0,0,0,0,0,2,0.91,3,1,1,0.9,2,1.37,0.46,0.46,0,0.00,8,3.7,2,0,0,,,,,,,,,,,,,,13.34,12.8,0.0,29.2,28,0,2,1,0,0.00,0.00,2.74,0.00,6.40,11.0%
Francesco Gelli,"WB (R), M/AM (RC)",Frosinone,Italy,29,6,2,324,6.92,0,0,0,1,0,0.00,0.28,0.08,0.86,0.24,0.28,0.08,-0.28,4,1.1,0,0.0,0.0%,3,0.83,0,0,85.5%,213,59.2,9,2.50,30,8.3,249,69.2,21,5,21,5,11,3.06,14,2,4,3.9,11,3.89,0.56,1.11,3,0.83,38,10.6,14,7,6,,,,,,,,,,,,,,13.53,19.2,2.5,48.7,69,9,10,3,0,0.00,0.00,10.00,4.72,12.50,12.0%
Simone Russini,AM (RL),Padova,Italy,29,6,6,540,6.90,0,0,0,0,0,0.00,0.64,0.11,0.00,0.00,0.64,0.11,-0.64,7,1.2,3,0.5,0.0%,0,0.00,0,0,67.5%,81,13.5,0,0.00,0,0.0,120,20.0,0,0,0,0,6,1.00,0,0,0,0.0,10,0.00,0.00,0.00,0,0.00,0,0.0,0,1,12,,,,,,,,,,,,,,0.00,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,1.17,0.50,2.00,0.0%
Luigi Cuppone,"AM (C), ST",Virtus Entella,Italy,28,6,2,290,6.67,1,0,0,0,0,0.31,0.95,0.29,0.23,0.07,0.95,0.29,0.05,8,2.5,4,1.2,12.5%,1,0.31,0,0,85.9%,79,24.5,3,0.93,9,2.8,92,28.6,4,1,4,1,0,0.00,2,4,0,1.9,0,0.62,1.24,0.00,0,0.00,19,5.9,6,1,5,,,,,,,,,,,,,,12.69,11.8,0.6,40.9,38,2,23,3,1,0.31,0.31,0.93,2.79,4.97,9.8%
Mattia Bortolussi,"AM (RL), ST",Padova,Italy,29,6,5,433,6.78,1,1,0,0,0,0.21,1.25,0.26,0.68,0.14,1.25,0.26,-0.25,13,2.7,7,1.5,7.7%,1,0.21,0,0,85.9%,110,22.9,8,1.66,12,2.5,128,26.6,11,1,11,1,2,0.42,5,0,0,0.4,2,1.04,0.00,0.00,0,0.00,17,3.5,2,4,4,,,,,,,,,,,,,,11.54,9.6,1.0,55.5,46,5,28,11,2,0.42,0.42,2.29,3.12,4.36,9.4%
Gabriele Corbo,D (C),Pescara,Italy,26,6,6,553,7.03,0,0,0,0,1,0.00,0.03,0.00,0.00,0.00,0.03,0.00,-0.03,1,0.2,0,0.0,0.0%,0,0.00,0,0,76.4%,107,17.4,0,0.00,0,0.0,140,22.8,0,0,0,0,13,2.12,0,0,0,0.0,13,0.00,0.00,0.00,0,0.00,0,0.0,0,6,8,,,,,,,,,,,,,,0.00,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,3.09,0.00,1.30,0.0%
Domenico Dachille,"D (LC), WB (L)",U.S. Avellino 1912,Italy,20,6,0,346,6.58,0,0,0,0,0,0.00,0.00,0.00,0.03,0.01,0.00,0.00,0.00,0,0.0,0,0.0,,1,0.26,0,0,80.6%,133,34.6,3,0.78,11,2.9,165,42.9,3,1,3,1,1,0.26,13,3,3,0.3,1,3.38,0.78,0.78,0,0.00,13,3.4,1,0,2,,,,,,,,,,,,,,11.00,3.6,0.0,42.3,14,0,23,17,0,0.00,0.00,4.42,0.52,3.38,6.7%
Leonardo Colombo,"D (C), DM, M (C)",Monza,Italy,20,6,6,451,6.55,0,1,0,1,0,0.00,0.10,0.02,2.14,0.43,0.10,0.02,-0.10,3,0.6,0,0.0,0.0%,1,0.20,0,0,83.9%,265,52.9,4,0.80,36,7.2,316,63.1,1,0,1,0,2,0.40,13,8,4,0.8,2,2.59,1.60,0.80,0,0.00,36,7.2,4,3,2,,,,,,,,,,,,,,11.35,9.0,0.2,56.9,45,1,10,8,1,0.20,0.20,4.39,0.40,7.78,11.4%
Ernesto Matteazzi,"DM, M (C)",Virtus Entella,Italy,21,6,2,231,6.73,0,0,0,0,0,0.00,0.06,0.02,0.00,0.00,0.06,0.02,-0.06,3,1.2,1,0.4,0.0%,0,0.00,0,0,91.4%,128,49.9,0,0.00,11,4.3,140,54.5,1,0,1,0,1,0.39,8,2,0,2.7,3,3.12,0.78,0.00,1,0.39,20,7.8,7,3,2,,,,,,,,,,,,,,13.52,14.8,0.4,34.7,38,1,12,6,0,0.00,0.00,4.68,0.78,5.45,7.9%
Saad El Haddad,"AM (LC), ST",Venezia,Morocco,20,6,6,474,6.70,0,0,0,1,0,0.00,0.44,0.08,0.17,0.03,0.44,0.08,-0.44,7,1.3,2,0.4,0.0%,1,0.19,0,0,87.6%,156,29.6,5,0.95,10,1.9,178,33.8,12,1,11,1,3,0.57,9,2,2,0.4,4,1.71,0.38,0.38,0,0.00,20,3.8,2,6,7,,,,,,,,,,,,,,10.86,7.2,3.0,57.2,38,16,23,4,0,0.00,0.00,3.80,3.80,6.27,5.6%
Halid Djankpata,M/AM (C),Spezia,Benin,20,6,1,233,6.55,1,0,0,1,0,0.39,0.07,0.03,0.02,0.01,0.07,0.03,0.93,2,0.8,1,0.4,50.0%,0,0.00,0,0,97.2%,35,13.5,0,0.00,2,0.8,36,13.9,0,0,0,0,0,0.00,0,0,0,0.0,0,0.00,0.00,0.00,0,0.00,3,1.2,0,1,2,,,,,,,,,,,,,,2.82,3.1,0.0,7.3,8,0,5,2,1,0.39,0.39,0.39,0.77,1.55,5.6%
Tommaso Lagomarsino,D/WB/M (L),Virtus Entella,Italy,20,6,3,421,6.60,0,0,0,0,0,0.00,0.00,0.00,0.38,0.08,0.00,0.00,0.00,0,0.0,0,0.0,,1,0.21,0,0,76.0%,111,23.7,1,0.21,6,1.3,146,31.2,14,2,14,2,6,1.28,5,0,0,0.4,6,1.07,0.00,0.00,0,0.00,17,3.6,2,1,3,,,,,,,,,,,,,,4.70,5.8,0.4,22.0,27,2,6,5,0,0.00,0.00,2.57,1.07,2.35,4.1%
Gabriel Arditi,"M/AM (C), ST",Catanzaro,Italy,19,6,0,190,6.48,0,0,0,0,0,0.00,0.48,0.23,0.06,0.03,0.48,0.23,-0.48,5,2.4,1,0.5,0.0%,1,0.47,0,0,91.5%,54,25.6,3,1.42,2,0.9,59,27.9,0,0,0,0,0,0.00,1,1,0,0.5,0,0.47,0.47,0.00,0,0.00,2,0.9,1,2,3,,,,,,,,,,,,,,11.13,9.9,0.5,23.5,21,1,17,7,0,0.00,0.00,1.42,1.42,2.84,3.4%
Daniel Sanaj,M/AM (L),Cesena FC,Albania,19,6,4,441,6.93,0,0,0,0,0,0.00,0.33,0.07,0.07,0.01,0.33,0.07,-0.33,6,1.2,2,0.4,0.0%,0,0.00,0,0,73.3%,74,15.1,0,0.00,0,0.0,101,20.6,0,0,0,0,5,1.02,0,0,0,0.0,7,0.00,0.00,0.00,0,0.00,0,0.0,0,8,3,,,,,,,,,,,,,,1.04,0.8,0.0,5.1,4,0,8,1,0,0.00,0.00,2.65,0.41,0.61,0.0%
Carlo Carreri,"AM (C), ST",Modena F.C.,Italy,19,6,1,276,6.33,0,0,0,0,0,0.00,0.75,0.24,0.02,0.01,0.75,0.24,-0.75,4,1.3,1,0.3,0.0%,0,0.00,0,0,87.4%,76,24.8,0,0.00,9,2.9,87,28.4,2,0,2,0,4,1.30,2,3,0,0.7,5,0.65,0.98,0.00,0,0.00,12,3.9,2,0,0,,,,,,,,,,,,,,11.45,11.7,0.0,35.1,36,0,13,1,0,0.00,0.00,1.96,0.33,2.93,10.3%
Mateo Scheffer,D/WB/M (R),Carrarese,Argentina,21,6,3,429,6.82,0,0,0,1,0,0.00,0.13,0.03,0.00,0.00,0.13,0.03,-0.13,2,0.4,0,0.0,0.0%,0,0.00,0,0,89.5%,204,42.8,7,1.47,29,6.1,228,47.8,13,1,13,1,5,1.05,17,4,2,1.3,5,3.57,0.84,0.42,0,0.00,20,4.2,6,4,5,,,,,,,,,,,,,,11.35,11.7,0.4,54.1,56,2,23,13,0,0.00,0.00,5.87,0.63,7.55,12.7%
Ferdinando Borgia,"DM, M (RC)",Frosinone,Italy,19,6,4,445,6.35,0,0,0,0,0,0.00,0.15,0.03,0.19,0.04,0.15,0.03,-0.15,3,0.6,1,0.2,0.0%,0,0.00,0,0,85.4%,164,33.2,6,1.21,23,4.7,192,38.8,26,8,26,8,5,1.01,11,6,1,1.4,7,2.22,1.21,0.20,0,0.00,37,7.5,7,2,4,,,,,,,,,,,,,,10.36,16.8,1.2,51.2,83,6,11,3,0,0.00,0.00,3.84,3.03,6.67,12.0%
Mascarenhas,D/WB (L),Modena F.C.,Brazil,27,5,0,153,6.68,0,0,0,0,0,0.00,0.04,0.02,0.18,0.11,0.04,0.02,-0.04,2,1.2,2,1.2,0.0%,1,0.59,0,0,88.6%,78,45.9,3,1.76,9,5.3,88,51.8,17,2,14,2,4,2.35,11,5,1,1.2,4,6.47,2.94,0.59,0,0.00,18,10.6,2,6,1,,,,,,,,,,,,,,15.24,31.2,1.2,25.9,53,2,2,2,0,0.00,0.00,12.94,4.12,7.06,10.2%
Marco Pissardo,GK,SSC Bari,Italy,28,5,4,446,6.62,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0,0.0,,0,0.00,0,0,83.8%,93,18.8,0,0.00,1,0.2,111,22.4,0,0,0,255,,,2,13,23,0.0,,0.40,2.62,4.64,0,0.00,0,0.0,0,0,0,78.3%,3.6,0,0.00,1.01,-0.07,5,11,2,0,0,,5,5.81,0.0,0.0,28.8,0,0,,,0,0.00,0.00,5.04,51.46,0.20,0.9%
Antonio Boccadamo,D/WB/M (R),Virtus Entella,Italy,26,5,0,159,6.76,0,0,0,1,0,0.00,0.23,0.13,0.37,0.21,0.23,0.13,-0.23,4,2.3,0,0.0,0.0%,1,0.57,0,0,75.0%,54,30.6,2,1.13,3,1.7,72,40.8,8,1,8,1,7,3.96,8,3,1,2.8,9,4.53,1.70,0.57,0,0.00,16,9.1,5,3,3,,,,,,,,,,,,,,13.42,21.5,1.1,23.7,38,2,8,2,0,0.00,0.00,10.75,2.26,4.53,4.2%
Niccolò Corrado,D/WB (L),Frosinone,Italy,25,5,1,205,6.92,0,1,1,0,0,0.00,0.00,0.00,0.91,0.40,0.00,0.00,0.00,0,0.0,0,0.0,,2,0.88,0,0,90.8%,108,47.4,4,1.76,16,7.0,119,52.2,24,4,20,3,3,1.32,4,5,0,2.6,3,1.76,2.20,0.00,0,0.00,26,11.4,6,2,6,,,,,,,,,,,,,,14.31,29.0,2.6,32.6,66,6,1,0,1,0.44,0.44,3.95,4.83,12.29,13.4%
Nunzio Lella,"DM, M (LC)",Venezia,Italy,25,5,5,437,6.70,0,3,0,0,0,0.00,0.42,0.09,0.46,0.09,0.42,0.09,-0.42,5,1.0,3,0.6,0.0%,0,0.00,0,0,,0,0.0,3,0.62,0,0.0,0,0.0,0,0,0,0,0,0.00,0,0,0,0.0,0,0.00,0.00,0.00,0,0.00,0,0.0,0,0,1,,,,,,,,,,,,,,0.00,0.0,0.0,0.0,0,0,0,0,3,0.62,0.62,0.00,0.62,0.21,
Jérémy Le Douaron,"AM (RL), ST",Palermo,France,27,5,1,223,6.80,0,0,0,0,0,0.00,0.14,0.06,0.79,0.32,0.14,0.06,-0.14,3,1.2,1,0.4,0.0%,6,2.42,0,0,91.9%,102,41.2,11,4.44,13,5.2,111,44.8,7,1,5,1,3,1.21,5,1,1,1.6,5,2.02,0.40,0.40,0,0.00,16,6.5,4,2,2,,,,,,,,,,,,,,13.40,23.4,2.0,33.2,58,5,7,2,0,0.00,0.00,4.44,5.25,8.07,11.7%
Antonio Casas,ST,Venezia,Spain,25,5,3,263,6.40,0,0,0,0,0,0.00,0.30,0.10,0.00,0.00,0.30,0.10,-0.30,4,1.4,0,0.0,0.0%,0,0.00,0,0,88.1%,104,35.6,0,0.00,6,2.1,118,40.4,3,1,3,1,1,0.34,0,1,1,1.0,3,0.00,0.34,0.34,1,0.34,10,3.4,3,6,1,,,,,,,,,,,,,,11.91,6.2,0.0,34.8,18,0,21,3,0,0.00,0.00,2.74,0.34,2.40,5.1%
Niko Gießelmann,"D (LC), WB (L)",Südtirol,Germany,34,5,1,208,6.66,1,0,0,0,0,0.43,0.15,0.06,0.01,0.00,0.15,0.06,0.85,4,1.7,3,1.3,25.0%,0,0.00,0,0,89.7%,105,45.4,1,0.43,17,7.4,117,50.6,3,0,2,0,5,2.16,3,6,0,1.7,6,1.30,2.60,0.00,0,0.00,10,4.3,4,5,0,,,,,,,,,,,,,,12.20,12.1,0.4,28.2,28,1,5,2,1,0.43,0.43,5.63,2.16,7.79,14.5%
Bryant Nieling,D (C),Modena F.C.,The Netherlands,24,5,5,485,6.72,0,0,0,1,0,0.00,0.16,0.03,0.00,0.00,0.16,0.03,-0.16,1,0.2,1,0.2,0.0%,0,0.00,0,0,91.1%,327,60.7,0,0.00,14,2.6,359,66.6,0,0,0,0,4,0.74,15,9,7,0.7,6,2.78,1.67,1.30,5,0.93,10,1.9,4,4,0,,,,,,,,,,,,,,10.84,8.4,0.4,58.4,45,2,18,9,0,0.00,0.00,5.57,0.56,2.97,3.9%
Mario Paura,D (C),Catanzaro,Italy,20,5,3,285,6.82,0,0,0,0,0,0.00,0.00,0.00,0.08,0.03,0.00,0.00,0.00,0,0.0,0,0.0,,0,0.00,0,0,95.1%,156,49.3,4,1.26,5,1.6,164,51.8,0,0,0,0,6,1.89,4,4,0,0.6,8,1.26,1.26,0.00,1,0.32,4,1.3,2,0,0,,,,,,,,,,,,,,10.36,5.7,0.0,32.8,18,0,9,4,0,0.00,0.00,3.16,0.00,1.58,3.0%
Kévin Keben,D (C),Spezia,Cameroon,22,5,3,334,6.74,0,0,0,0,0,0.00,0.00,0.00,0.07,0.02,0.00,0.00,0.00,0,0.0,0,0.0,,0,0.00,0,0,94.0%,172,46.3,0,0.00,13,3.5,183,49.3,1,0,1,0,4,1.08,11,7,3,0.8,4,2.96,1.89,0.81,0,0.00,11,3.0,3,3,0,,,,,,,,,,,,,,9.62,3.5,0.0,35.7,13,0,11,3,0,0.00,0.00,5.66,0.00,3.50,7.1%
Marko Farji,"AM (RLC), ST",Venezia,Iraq,21,5,2,246,6.42,0,0,0,0,0,0.00,0.73,0.27,0.08,0.03,0.73,0.27,-0.73,11,4.0,5,1.8,0.0%,0,0.00,0,0,85.1%,86,31.5,3,1.10,9,3.3,101,37.0,20,4,9,3,2,0.73,5,0,0,2.9,2,1.83,0.00,0.00,0,0.00,23,8.4,8,1,5,,,,,,,,,,,,,,12.51,14.6,2.6,34.2,40,7,15,3,0,0.00,0.00,2.93,5.49,7.68,8.9%
Nicolò Berengo,D/WB (RL),Venezia,Italy,21,5,0,169,6.34,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0,0.0,,1,0.53,0,0,88.3%,83,44.2,2,1.07,10,5.3,94,50.1,15,0,15,0,2,1.07,4,2,1,2.7,3,2.13,1.07,0.53,0,0.00,12,6.4,5,1,1,,,,,,,,,,,,,,10.12,21.3,0.5,19.0,40,1,8,2,0,0.00,0.00,4.26,1.07,6.39,10.6%
Benedikt Rottensteiner,D (C),Südtirol,Italy,20,5,3,388,6.68,0,0,0,3,0,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0,0.0,0,0.0,,0,0.00,0,0,88.5%,177,41.1,1,0.23,11,2.6,200,46.4,0,0,0,0,3,0.70,16,3,1,0.9,4,3.71,0.70,0.23,1,0.23,13,3.0,4,3,1,,,,,,,,,,,,,,10.51,3.0,0.0,45.3,13,0,27,19,0,0.00,0.00,5.34,0.00,2.78,5.5%
Lorenzo Lischetti,"AM (R), ST",Spezia,Italy,19,5,0,175,6.60,1,0,0,0,0,0.51,0.83,0.43,0.04,0.02,0.83,0.43,0.17,3,1.5,2,1.0,33.3%,0,0.00,0,0,91.7%,44,22.6,1,0.51,1,0.5,48,24.7,0,0,0,0,0,0.00,3,0,0,0.0,0,1.54,0.00,0.00,0,0.00,0,0.0,0,2,1,,,,,,,,,,,,,,9.98,7.2,1.5,19.4,14,3,23,7,1,0.51,0.51,2.57,3.09,2.57,2.1%
Noah Mutanda,"DM, M (C)",U.S. Avellino 1912,The Democratic Republic of the Congo,20,5,1,214,6.52,0,0,0,0,0,0.00,0.07,0.03,0.08,0.03,0.07,0.03,-0.07,2,0.8,0,0.0,0.0%,1,0.42,0,0,91.0%,121,50.9,0,0.00,14,5.9,133,55.9,0,0,0,0,1,0.42,3,2,1,1.3,1,1.26,0.84,0.42,0,0.00,9,3.8,3,1,0,,,,,,,,,,,,,,10.39,7.1,0.0,24.7,17,0,12,8,0,0.00,0.00,2.52,0.42,5.89,10.5%
Simone Ascione,AM (RL),Venezia,Italy,20,5,0,167,6.36,0,0,0,0,0,0.00,0.77,0.41,0.13,0.07,0.77,0.41,-0.77,5,2.7,1,0.5,0.0%,0,0.00,0,0,87.5%,70,37.7,1,0.54,4,2.2,80,43.1,13,1,13,1,1,0.54,2,0,0,0.5,1,1.08,0.00,0.00,0,0.00,17,9.2,1,1,2,,,,,,,,,,,,,,13.47,14.0,1.6,25.0,26,3,13,0,0,0.00,0.00,2.16,2.69,4.85,5.0%
Giuseppe Saccomanni,M/AM (RC),Pescara,Italy,19,5,1,253,6.62,0,0,0,0,0,0.00,0.41,0.15,0.00,0.00,0.41,0.15,-0.41,3,1.1,1,0.4,0.0%,0,0.00,0,0,87.7%,100,35.6,3,1.07,8,2.8,114,40.6,16,1,16,1,1,0.36,7,1,0,0.4,1,2.49,0.36,0.00,0,0.00,20,7.1,1,1,1,,,,,,,,,,,,,,11.42,12.1,3.6,32.1,34,10,11,2,0,0.00,0.00,3.20,4.27,6.76,7.0%
Vittorio Chiabotto,"DM, M (LC)",Spezia,Italy,18,5,2,242,6.36,0,0,0,1,0,0.00,0.00,0.00,0.26,0.10,0.00,0.00,0.00,0,0.0,0,0.0,,0,0.00,0,0,77.8%,56,20.8,1,0.37,4,1.5,72,26.8,0,0,0,0,4,1.49,3,1,0,0.4,5,1.12,0.37,0.00,0,0.00,3,1.1,1,5,4,,,,,,,,,,,,,,3.50,2.6,0.0,9.4,7,0,0,0,0,0.00,0.00,4.46,0.00,2.98,5.6%
Andrea Arilli,D/WB (R),Virtus Entella,Italy,18,5,5,450,7.08,0,0,0,0,0,0.00,0.61,0.12,0.44,0.09,0.61,0.12,-0.61,2,0.4,0,0.0,0.0%,0,0.00,0,0,79.3%,130,26.0,3,0.60,9,1.8,164,32.8,7,0,7,0,8,1.60,3,2,0,1.0,10,0.60,0.40,0.00,0,0.00,5,1.0,5,7,0,,,,,,,,,,,,,,4.54,4.4,0.0,22.7,22,0,13,9,0,0.00,0.00,3.60,0.00,1.80,5.5%
Faustino Anjorin,"M (C), AM (LC)",Empoli FC,Nigeria,24,4,0,129,6.60,0,1,0,0,0,0.00,0.52,0.36,0.10,0.07,0.52,0.36,-0.52,4,2.8,1,0.7,0.0%,0,0.00,0,0,88.3%,53,37.0,2,1.40,4,2.8,60,41.9,0,0,0,0,0,0.00,0,0,0,0.7,0,0.00,0.00,0.00,0,0.00,7,4.9,1,0,2,,,,,,,,,,,,,,14.65,11.9,0.0,21.0,17,0,4,1,1,0.70,0.70,0.00,0.70,4.19,6.7%
Leonardo Marson,GK,U.S. Avellino 1912,Italy,28,4,3,283,8.23,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0,0,0.0,,0,0.00,0,0,58.8%,47,14.9,0,0.00,0,0.0,80,25.4,0,0,0,0,,,0,0,0,0.0,,0.00,0.00,0.00,0,0.00,0,0.0,0,0,0,0.0%,0.0,2,0.64,0.95,0.00,0,0,0,0,0,,3,0.00,0.0,0.0,0.0,0,0,,,0,0.00,0.00,0.00,0.00,0.00,0.0%
David Wieser,"DM, M/AM (C)",Mantova,Italy,24,4,1,191,6.65,0,0,0,0,0,0.00,0.29,0.14,0.05,0.02,0.29,0.14,-0.29,5,2.4,1,0.5,0.0%,0,0.00,0,0,86.7%,150,70.7,2,0.94,16,7.5,173,81.5,1,0,0,0,1,0.47,11,1,0,3.3,3,5.18,0.47,0.00,0,0.00,24,11.3,7,1,0,,,,,,,,,,,,,,14.28,13.7,0.0,30.3,29,0,5,1,0,0.00,0.00,6.13,0.47,7.54,9.2%
